config,judge,core4_mean,core4_std,n
gpt-5.5/live,claude-opus-4.7,4.722,0.488,212
gpt-5.5/live,gemini-3.1-pro-preview,4.877,0.536,212
gpt-5.5/live,glm-5.1,4.835,0.441,212
gpt-5.5/live,gpt-5.5,4.090,0.955,212
qwen3.5-122b/live,claude-opus-4.7,4.316,0.818,212
qwen3.5-122b/live,gemini-3.1-pro-preview,4.783,0.720,212
qwen3.5-122b/live,glm-5.1,4.481,0.810,212
qwen3.5-122b/live,gpt-5.5,3.528,1.002,212
qwen3.6-27b/live,claude-opus-4.7,4.486,0.810,212
qwen3.6-27b/live,gemini-3.1-pro-preview,4.825,0.516,212
qwen3.6-27b/live,glm-5.1,4.558,0.770,208
qwen3.6-27b/live,gpt-5.5,3.712,1.022,212
qwen3.6-27b/no-tools,claude-opus-4.7,4.429,0.926,212
qwen3.6-27b/no-tools,gemini-3.1-pro-preview,4.547,1.121,212
qwen3.6-27b/no-tools,glm-5.1,4.490,0.971,208
qwen3.6-27b/no-tools,gpt-5.5,3.533,1.134,212
qwen3.6-27b/rag,claude-opus-4.7,3.500,1.234,212
qwen3.6-27b/rag,gemini-3.1-pro-preview,4.410,0.979,212
qwen3.6-27b/rag,glm-5.1,3.948,1.198,212
qwen3.6-27b/rag,gpt-5.5,3.264,1.040,212
qwen3.6-35b/live,claude-opus-4.7,4.335,0.909,212
qwen3.6-35b/live,gemini-3.1-pro-preview,4.552,1.043,212
qwen3.6-35b/live,glm-5.1,4.481,0.898,212
qwen3.6-35b/live,gpt-5.5,3.519,1.066,212
